t,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
3.52000000e-01,2.83764210e+07,2.62838414e+07,2.43653932e+07,2.26603325e+07,2.11026772e+07,1.95493359e+07,1.78998374e+07,1.62074180e+07,1.46476061e+07,1.33278572e+07,1.21288818e+07,1.08143505e+07,9.34848181e+06,7.98621165e+06,6.87590809e+06,5.72470174e+06,4.29322857e+06,2.98936940e+06,1.95052215e+06,6.68626362e+05
3.60000000e-01,2.85928421e+07,2.65127759e+07,2.45892893e+07,2.28620959e+07,2.12804277e+07,1.97150961e+07,1.80617402e+07,1.63566254e+07,1.47680896e+07,1.34185188e+07,1.22069909e+07,1.08903477e+07,9.40643050e+06,8.00611365e+06,6.87093316e+06,5.72765155e+06,4.30520296e+06,2.98800829e+06,1.94255431e+06,6.65849250e+05
3.68000000e-01,2.87771468e+07,2.67198078e+07,2.47969455e+07,2.30472780e+07,2.14381426e+07,1.98597460e+07,1.82071857e+07,1.64975675e+07,1.48861175e+07,1.35064338e+07,1.22784002e+07,1.09577015e+07,9.45802389e+06,8.02309351e+06,6.86464135e+06,5.73027437e+06,4.31873818e+06,2.98907345e+06,1.93584732e+06,6.63250746e+05
3.76000000e-01,2.89300351e+07,2.69043795e+07,2.49874232e+07,2.32155644e+07,2.15764316e+07,1.99842120e+07,1.83365517e+07,1.66297556e+07,1.50007211e+07,1.35907472e+07,1.23426995e+07,1.10165263e+07,9.50389254e+06,8.03806743e+06,6.85762256e+06,5.73223624e+06,4.33264514e+06,2.99124037e+06,1.92961889e+06,6.60678854e+05
3.84000000e-01,2.90524023e+07,2.70658806e+07,2.51596277e+07,2.33665735e+07,2.16960234e+07,2.00896482e+07,1.84503713e+07,1.67526630e+07,1.51107541e+07,1.36704580e+07,1.23994881e+07,1.10670711e+07,9.54480096e+06,8.05199484e+06,6.85042626e+06,5.73313400e+06,4.34567693e+06,2.99315157e+06,1.92307548e+06,6.57980353e+05
3.92000000e-01,2.91453255e+07,2.72036851e+07,2.53123504e+07,2.34998501e+07,2.17976975e+07,2.01773512e+07,1.85492968e+07,1.68657762e+07,1.52150059e+07,1.37445258e+07,1.24484073e+07,1.11096564e+07,9.58151918e+06,8.06575704e+06,6.84351926e+06,5.73256338e+06,4.35667714e+06,2.99357090e+06,1.91550352e+06,6.55018628e+05
4.00000000e-01,2.92100313e+07,2.73171894e+07,2.54443258e+07,2.36148777e+07,2.18822288e+07,2.02486745e+07,1.86340534e+07,1.69686283e+07,1.53122972e+07,1.38119666e+07,1.24891752e+07,1.11446238e+07,9.61471803e+06,8.08005726e+06,6.83724970e+06,5.73017211e+06,4.36469768e+06,2.99150644e+06,1.90634201e+06,6.51687840e+05
4.08000000e-01,2.92478447e+07,2.74058489e+07,2.55542990e+07,2.37111082e+07,2.19503484e+07,2.03049509e+07,1.87053849e+07,1.70608122e+07,1.54015506e+07,1.38719299e+07,1.25216189e+07,1.11723069e+07,9.64489709e+06,8.09535026e+06,6.83181989e+06,5.72569337e+06,4.36907608e+06,2.98629132e+06,1.89523024e+06,6.47922229e+05
4.16000000e-01,2.92601246e+07,2.74692096e+07,2.56411002e+07,2.37880077e+07,2.20027217e+07,2.03474243e+07,1.87639967e+07,1.71419752e+07,1.54818336e+07,1.39237531e+07,1.25457028e+07,1.11930195e+07,9.67234802e+06,8.11180519e+06,6.82727030e+06,5.71895886e+06,4.36946912e+06,2.97761926e+06,1.88202858e+06,6.43700138e+05
4.24000000e-01,2.92481930e+07,2.75069359e+07,2.57037192e+07,2.38451087e+07,2.20399419e+07,2.03771968e+07,1.88105016e+07,1.72118000e+07,1.55523769e+07,1.39669917e+07,1.25615479e+07,1.12070603e+07,9.69715057e+06,8.12930104e+06,6.82347587e+06,5.70989413e+06,4.36584631e+06,2.96553738e+06,1.86681374e+06,6.39043006e+05
