t,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20
4.56000000e-01,0.00000000e+00,3.98093716e-23,7.89632874e-23,1.17384420e-22,1.55858494e-22,1.95827743e-22,2.38676501e-22,2.84735251e-22,3.32472112e-22,3.78474886e-22,4.18701320e-22,4.50946068e-22,4.77519728e-22,5.06062523e-22,5.46085404e-22,6.00730636e-22,6.58806299e-22,7.00016174e-22,7.24713461e-22,7.68203606e-22,8.22256668e-22
4.64000000e-01,0.00000000e+00,4.18750243e-23,8.24882247e-23,1.21309726e-22,1.58952411e-22,1.97032686e-22,2.37434099e-22,2.81180313e-22,3.27396169e-22,3.73017970e-22,4.13842321e-22,4.47000809e-22,4.73949951e-22,5.01838504e-22,5.40537767e-22,5.94322544e-22,6.52919629e-22,6.95410188e-22,7.20296119e-22,7.62832686e-22,8.16643398e-22
4.72000000e-01,0.00000000e+00,4.37993560e-23,8.57683803e-23,1.24945500e-22,1.61765690e-22,1.97992639e-22,2.35976650e-22,2.77417988e-22,3.22112594e-22,3.67388003e-22,4.08925948e-22,4.43206166e-22,4.70777665e-22,4.98187934e-22,5.35562821e-22,5.88294159e-22,6.47139556e-22,6.90710741e-22,7.15691349e-22,7.57199207e-22,8.10720812e-22
4.80000000e-01,0.00000000e+00,4.54997113e-23,8.86575820e-23,1.28115457e-22,1.64130989e-22,1.98583624e-22,2.34244236e-22,2.73454292e-22,3.16677310e-22,3.61664005e-22,4.04027632e-22,4.39617557e-22,4.68036452e-22,4.95131224e-22,5.31176875e-22,5.82658625e-22,6.41469615e-22,6.85907456e-22,7.10879183e-22,7.51280559e-22,8.04465869e-22
4.88000000e-01,0.00000000e+00,4.69117983e-23,9.10435428e-23,1.30687737e-22,1.65929936e-22,1.98729416e-22,2.32218805e-22,2.69327978e-22,3.11167915e-22,3.55934608e-22,3.99220134e-22,4.36276244e-22,4.65736550e-22,4.92660304e-22,5.27367898e-22,5.77406008e-22,6.35898843e-22,6.80984763e-22,7.05842378e-22,7.45062146e-22,7.97865439e-22
4.96000000e-01,0.00000000e+00,4.79906069e-23,9.28492856e-23,1.32576126e-22,1.67093389e-22,1.98400224e-22,2.29921027e-22,2.65105817e-22,3.05678029e-22,3.50292387e-22,3.94568754e-22,4.33206056e-22,4.63863327e-22,4.90738730e-22,5.24096923e-22,5.72505597e-22,6.30404665e-22,6.75925141e-22,7.00569810e-22,7.38540833e-22,7.90919740e-22
5.04000000e-01,0.00000000e+00,4.87098999e-23,9.40318984e-23,1.33737714e-22,1.67597631e-22,1.97607262e-22,2.27403419e-22,2.60874817e-22,3.00309493e-22,3.44827018e-22,3.90126315e-22,4.30410710e-22,4.62376999e-22,4.89303414e-22,5.21301190e-22,5.67909861e-22,6.24957166e-22,6.70713379e-22,6.95060585e-22,7.31728876e-22,7.83646202e-22
5.12000000e-01,0.00000000e+00,4.90606256e-23,9.45792958e-23,1.34167934e-22,1.67457714e-22,1.96394605e-22,2.24741199e-22,2.56732861e-22,2.95163750e-22,3.39618403e-22,3.85928804e-22,4.27872315e-22,4.61213808e-22,4.88267896e-22,5.18898675e-22,5.63559422e-22,6.19523926e-22,6.65340932e-22,6.89327802e-22,7.24657221e-22,7.76082582e-22
5.20000000e-01,0.00000000e+00,4.90486263e-23,9.45057171e-23,1.33894030e-22,1.66719212e-22,1.94829743e-22,2.22022349e-22,2.52779167e-22,2.90333694e-22,3.34730805e-22,3.81992409e-22,4.25551449e-22,4.60288785e-22,4.87526950e-22,5.16793542e-22,5.59388424e-22,6.14074631e-22,6.59809465e-22,6.83401044e-22,7.17377216e-22,7.68288401e-22
5.28000000e-01,0.00000000e+00,4.86919955e-23,9.38466337e-23,1.32967895e-22,1.65449541e-22,1.92994080e-22,2.19338141e-22,2.49105759e-22,2.85896997e-22,3.30208780e-22,3.78312463e-22,4.23389071e-22,4.59500022e-22,4.86962265e-22,5.14882079e-22,5.55329717e-22,6.08584849e-22,6.54132959e-22,6.77326942e-22,7.09960100e-22,7.60344035e-22
5.36000000e-01,0.00000000e+00,4.80183740e-23,9.26536228e-23,1.31459048e-22,1.63729747e-22,1.90974368e-22,2.16775078e-22,2.45790792e-22,2.81911572e-22,3.26075334e-22,3.74864502e-22,4.21310206e-22,4.58734271e-22,4.86448835e-22,5.13058693e-22,5.51319437e-22,6.03038559e-22,6.48338025e-22,6.71167533e-22,7.02494013e-22,7.52347250e-22
